1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
Identifier,Key_Value_Driver,KVDName,Client,Country,Product,Channel,Parent_Category,Child_Category,Metrics,MonthCY,MonthLY,MTDCYplan,MTDDifferenceActuals,MTDDev%Actuals,Deviation metrics,3 mnths Avg CY,3 mnths Avg LY,Dev %,YTD 2015,YTD 2014,PlanYTD2015,DifferenceYTDActuals,YTDDev %Actuals,MTDDifferenceplan,MTDDev%plan,YTDDifferencePlan,YTDDev%plan,month,month-1,month-2,month-3,month-4,month-5,month-6,month-7,month-8,month-9,month-10,month-11,month-12,month-13,month-14,month-15,month-16,month-17,month-18,month-19,month-20,month-21,month-22,month-23,month-24,,,
Fortuna#PlayerValueM1#CZ#NA#Overall,Player Value M1,PlayerValueM1,Fortuna,CZ,NA,Overall,,,CZ K,-14.28,-157.79,N/A,143.51,-91.00%,Negative,248.43,355.38,-30.10%,5181,5125.91,N/A,55.09,1.10%,N/A,N/A,N/A,N/A,-14.28,119.78,639.79,469.33,514.61,1540.49,793.3,506.68,611.3,344.23,767.72,344.6,-157.79,203.5,1020.43,1573.41,556.68,153.25,626.57,398.3,751.56,0,0,0,0,,,
Fortuna#PlayerValueM3#CZ#NA#Overall,Player Value M3,PlayerValueM3,Fortuna,CZ,NA,Overall,,,CZ K,-41.9,-1347.58,N/A,1305.68,-96.90%,Negative,964.37,1326.15,-27.30%,14267.82,15855.43,N/A,-1587.61,-10.00%,N/A,N/A,N/A,N/A,-41.9,453.73,2481.27,2001.93,1097.04,3073.07,1860.4,1486.57,1855.71,1578.05,2609.14,1627.46,-1347.58,1863.27,3462.75,2890.67,1702.37,1882.17,1927.92,1195.29,2278.57,0,0,0,0,,,
Fortuna#PlayerValueM6#CZ#NA#Overall,Player Value M6,PlayerValueM6,Fortuna,CZ,NA,Overall,,,CZ K,-68.16,-2361.57,N/A,2293.41,-97.10%,Negative,1185.85,2100.38,-43.50%,20985.04,26763.2,N/A,-5778.17,-21.60%,N/A,N/A,N/A,N/A,-68.16,571.76,3053.94,2240.3,1638.12,3937.23,3943.73,2418.55,3249.55,2832.99,3671.94,3261.42,-2361.57,3194.51,5468.19,4214.51,2936.57,3725.75,3289.78,2533.79,3761.67,0,0,0,0,,,
Fortuna#PlayerValueM12#CZ#NA#Overall,Player Value M12,PlayerValueM12,Fortuna,CZ,NA,Overall,,,CZ K,-109.27,-5192.56,N/A,5083.29,-97.90%,Negative,1901.1,3395.73,-44.00%,39647.53,44463.16,N/A,-4815.63,-10.80%,N/A,N/A,N/A,N/A,-109.27,916.62,4895.95,3591.56,3938.07,11788.59,6070.69,3877.32,4677.99,3135.65,5702.77,5619.23,-5192.56,6084.54,9295.22,6198.49,4931.47,7431.7,5097.71,4662.65,5953.94,0,0,0,0,,,
Fortuna#PlayerValueM24#CZ#NA#Overall,Player Value M24,PlayerValueM24,Fortuna,CZ,NA,Overall,,,CZ K,-180.92,-2379.76,N/A,2198.83,-92.40%,Negative,3147.66,5359.88,-41.30%,65644.6,77309.42,N/A,-11664.82,-15.10%,N/A,N/A,N/A,N/A,-180.92,1517.66,8106.25,5946.56,6520.28,19518.42,10051.27,6419.7,7745.37,5191.72,11578.84,5197.27,-2379.76,3069.25,15390.15,23730.22,8395.83,2311.35,9450.01,6007.26,11335.11,0,0,0,0,,,
Fortuna#M3RetentionRate#CZ#NA#Overall,M3 Retention Rate ,M3RetentionRate,Fortuna,CZ,NA,Overall,,,%,51.40%,58.20%,N/A,-0.07,-11.70%,Negative,0.53,0.55,-3.10%,4.63,4.81,N/A,-0.18,-3.80%,N/A,N/A,N/A,N/A,0.51,0.51,0.57,0.5,0.31,0.44,0.61,0.56,0.61,0.58,0.56,0.56,0.58,0.59,0.48,0.42,0.45,0.57,0.59,0.5,0.61,0,0,0,0,,,
Fortuna#M6RetentionRate#CZ#NA#Overall,M6 Retention Rate ,M6RetentionRate,Fortuna,CZ,NA,Overall,,,%,34.10%,42.30%,N/A,-0.08,-19.50%,Negative,0.34,0.39,-13.60%,3.07,3.41,N/A,-0.34,-10.00%,N/A,N/A,N/A,N/A,0.34,0.34,0.34,0.34,0.34,0.37,0.34,0.31,0.34,0.47,0.42,0.45,0.42,0.42,0.34,0.36,0.35,0.42,0.35,0.32,0.43,0,0,0,0,,,
Fortuna#M12RetentionRate#CZ#NA#Overall,M12 Retention Rate ,M12RetentionRate,Fortuna,CZ,NA,Overall,,,%,28.20%,30.20%,N/A,-0.02,-6.80%,Negative,0.28,0.27,3.70%,2.54,2.85,N/A,-0.31,-11.00%,N/A,N/A,N/A,N/A,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.32,0.32,0.35,0.3,0.27,0.24,0.36,0.31,0.38,0.34,0.29,0.36,0,0,0,0,,,
Fortuna#M24RetentionRate#CZ#NA#Overall,M24 Retention Rate ,M24RetentionRate,Fortuna,CZ,NA,Overall,,,%,21.00%,23.80%,N/A,-0.03,-11.90%,Negative,0.21,0.24,-11.90%,1.89,2.14,N/A,-0.26,-11.90%,N/A,N/A,N/A,N/A,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0,0,0,0,,,
Fortuna#StakeAmount#CZ#NA#Retail,Stake Amount,StakeAmount,Fortuna,CZ,NA,Retail,,,CZ K,105406549.5,110247000,113766549.9,-4840450.49,-4.40%,Negative,90541452.01,110953276.1,-18.40%,1013001022,1126436567,1013513005,-113435545,-10.10%,-8360000.36,-7.30%,-511983,-0.10%,105406549.5,93807000,72410806.51,84931480.74,172745426.5,120701501.4,130327710.1,119263888.8,113406658.6,115440000,126888000,132950000,110247000,107710575.2,114902253.2,140208844.7,124294578.9,135184572.1,137531850,125544517.4,130812375.7,142922345,154037160.4,133806009.9,119882208.8,,,
